Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
5,1560.242807,1203.6,624.8537482,1560.242807,1,Left,Right,yes,no,A-B
5,1924.715546,1393.9,1709.296624,215.418922,0,Right,Right,yes,no,A-B
5,1572.12696,2364.3,1359.806486,1572.12696,1,Right,Left,no,no,A-B
5,1255.024952,1276.5,335.9612121,1255.024952,1,Left,Left,yes,no,A-B
5,1941.175699,989.5,1753.261036,1941.175699,1,Left,Right,no,no,A-B
5,1255.024952,1540.4,1007.703109,247.321843,0,Right,Right,yes,no,A-B
5,-1348.1788,2650.5,875.20763,-1348.1788,1,Right,Left,no,no,D-E
5,-1298.90558,1565.2,1125.057803,-1298.90558,1,Left,Left,yes,no,D-E
5,-1439.377932,2585,1420.237967,-2859.615899,0,Left,Right,no,no,D-E
5,-1375.049368,1570,950.365951,-2325.415319,0,Right,Left,yes,no,D-E
5,-1329.363587,3618,788.989181,-1329.363587,1,Right,Right,yes,no,D-E
5,-1345.997317,1106.8,635.193418,-1345.997317,1,Right,Left,no,no,D-E
5,-1302.764941,2639.1,1251.855994,-1302.764941,1,Left,Right,yes,no,D-E
5,-1363.062003,1341.2,1080.903203,-2443.965206,0,Right,Left,yes,no,D-E
5,-1374.846792,1413.4,950.568527,-1374.846792,1,Left,Right,yes,no,D-E
5,-1304.826154,3465.4,700.052153,-2004.878307,0,Right,Left,yes,no,D-E
5,-1304.66982,3330.5,670.149146,-1974.818966,0,Left,Right,yes,no,D-E
5,-1263.727426,1385.6,1011.40675,-1263.727426,1,Right,Right,yes,no,D-E
5,-1399.208513,2019.2,1020.94977,-1399.208513,1,Right,Right,no,no,D-E
5,-1414.546,2374,1005.612283,-2420.158283,0,Right,Left,no,no,D-E
5,1453.011627,1119.4,4007.632562,1453.011627,1,Right,Left,yes,no,A-E
5,1572.12696,2001.6,3847.261136,-2275.134176,0,Left,Right,yes,no,A-E
5,1560.242807,951.9000001,3885.658126,1560.242807,1,Right,Right,yes,no,A-E
5,1941.175699,855.0999999,4059.528467,1941.175699,1,Right,Right,no,no,A-E
5,1924.715546,1046.1,4784.331445,-2859.615899,0,Right,Right,no,no,A-E
5,1941.175699,1951.6,4218.690199,1941.175699,1,Right,Right,no,no,A-E
5,2002.718236,1695.4,4426.681619,2002.718236,1,Right,Left,no,no,A-E
5,1453.011627,863.4000001,3778.426946,1453.011627,1,Left,Left,yes,no,A-E
5,1572.12696,819.7000003,4016.092166,-2443.965206,0,Left,Right,no,no,A-E
5,1560.242807,990.5,3980.40109,1560.242807,1,Right,Right,yes,no,A-E
5,1255.024952,1510,3259.903259,1255.024952,1,Right,Right,no,no,A-E
5,2002.718236,1145.1,3977.537202,2002.718236,1,Right,Left,no,no,A-E
5,1166.521266,1405.6,3586.679549,1166.521266,1,Left,Right,yes,no,A-E
5,1166.521266,957.4000001,3147.712001,-1981.190735,0,Right,Left,yes,no,A-E
